ads_idx,ads_code,adv_idx,sch_idx,ads_type,ads_category,ads_name,ads_limit,ads_payment,ads_save_way,ads_day_cap,ads_sdate,ads_edate,ads_os_type,ads_contract_price,ads_reward_price,ads_order,ads_rejoin_type,regdate
20737,Q3RO0MlRAp,618,1087721,9,6,열혈 방랑객,,,모든 서브퀘스트 완료,N,2023-01-07 12:00:00,2025-12-31 00:00:00,2,0,471,2006600,NONE,2023-01-07 01:56:47
20801,gEq47xvZIg,614,1087723,9,6,전삼국,,,모든 서브퀘스트 완료,N,2023-01-19 14:00:00,2025-12-31 00:00:00,2,0,78,2013800,NONE,2023-01-19 14:43:43
20910,rCLPhS3KKM,930,335043,12,11,토마스 풀 3D 백허그 목/어깨 안마기,,175000,구매,N,2023-02-13 13:00:00,9999-12-31 00:00:00,7,92727,60200,1248383,REJOINABLE,2023-02-13 13:45:29
20993,OAFV7JKx8j,1042,1087725,9,0,드래곤빌리지 서바이벌,,,모든 서브퀘스트 완료,N,2023-03-10 10:00:00,2025-12-31 00:00:00,2,0,429,2030900,NONE,2023-02-21 16:11:23
21037,9Bb06zz13Z,1276,1221822,3,8,바바더닷컴,여성,,최초 회원가입,N,2023-02-27 15:00:00,2025-09-01 00:00:00,2,1440,800,2722900,NONE,2023-02-27 15:32:20
21038,9Bb06zz13Z,1276,1221843,3,8,바바더닷컴,여성,,최초 회원가입,N,2023-02-27 15:00:00,2025-09-01 00:00:00,1,1440,800,2722800,NONE,2023-02-27 15:33:21
21106,pcqQ54SNKi,930,336371,12,11,뉴네이처 알티지오메가3파워 1400 60캡슐,,31900,구매,N,2023-03-09 15:00:00,9999-12-31 00:00:00,7,4454,2800,1307484,REJOINABLE,2023-03-09 15:48:53
21386,mTXayJu5Y9,1220,1087727,9,6,두근두근 레스토랑 : 글로벌,,,모든 서브퀘스트 완료,N,2023-04-17 14:00:00,2025-12-31 00:00:00,2,0,400,2059600,NONE,2023-04-14 18:25:46
21448,lMziFxy0nV,910,1220492,10,3,신한카드 유튜브,,,구독 + 좋아요,N,2023-04-20 15:00:00,2031-01-03 00:00:00,7,230,170,2487000,NONE,2023-04-20 15:27:54
21750,0Cu4BqaUQz,1315,1087728,9,6,마일드티니,,,모든 서브퀘스트 완료,N,2023-05-03 00:00:00,2025-12-31 00:00:00,2,0,607,2071400,NONE,2023-05-02 14:57:38
21903,7gRIjzElx1,1185,1087729,9,0,라스트 서머너 : 타워 디펜스 RPG,,,모든 서브퀘스트 완료,N,2023-05-16 15:00:00,2025-12-31 00:00:00,2,0,393,2076100,NONE,2023-05-14 14:35:17
21979,YBRSYasQ1d,1309,1087730,9,6,미니 탱크 키우기,,,모든 서브퀘스트 완료,N,2023-05-19 17:00:00,2025-12-31 00:00:00,2,0,678,2076500,NONE,2023-05-17 13:47:48
22045,jSEcCRQAi3,1310,1087733,9,6,드용 키우기 - 레트로 방치형 RPG,,,모든 서브퀘스트 완료,N,2023-05-22 18:00:00,2025-12-31 00:00:00,2,0,143,2078500,NONE,2023-05-19 14:00:49
22081,6KpGaxV4ot,1325,1087734,9,6,지하노역소,,,모든 서브퀘스트 완료,N,2023-05-26 13:00:00,2025-12-31 00:00:00,2,0,535,2080400,NONE,2023-05-23 12:01:17
22232,QvNsLro594,50,341587,3,8,라이프플러스 트라이브,,,회원가입,N,2023-06-05 14:00:00,2029-11-29 00:00:00,2,800,640,2294400,NONE,2023-06-05 13:59:50
22498,f7izkH0Mej,791,343014,3,8,미툰 7일 무료체험,,,7일간 무료체험 신청,N,2023-06-27 14:00:00,2030-01-01 00:00:00,7,4500,3200,2718500,NONE,2023-06-26 14:10:39
22557,pBNrJ4vruq,1232,1087738,9,6,The Dust,,,모든 서브퀘스트 완료,N,2023-07-06 13:00:00,2025-12-31 00:00:00,2,0,357,2092900,NONE,2023-07-03 14:55:53
23540,ACH1D41kjP,82,354096,3,5,트리플 퍼즐 게임,,,레벨 100 클리어,N,2023-08-09 10:00:00,2029-12-06 00:00:00,2,1359,1000,2134300,NONE,2023-08-09 10:54:15
24944,aZmD7iFgLu,82,350917,3,5,걸 마스터,,,레벨100 클리어,N,2023-09-11 16:00:00,2029-12-05 00:00:00,2,1890,1400,2224400,NONE,2023-09-11 16:02:20
25850,u7ixSCx3K0,335,1151307,3,8,똑똑보카 룰렛이벤트!,,,3초 퀴즈 후 카카오 로그인,N,2023-10-17 11:00:00,2029-11-29 00:00:00,2,100,70,2486800,NONE,2023-10-17 11:22:19
25890,FPrWi8YUqH,1298,1087764,9,0,클래스 : 방치형 파밍 RPG,,,모든 서브퀘스트 완료,N,2024-02-08 15:00:00,2025-12-31 00:00:00,2,0,36,2199700,NONE,2023-10-18 16:39:31
26001,ailcvESeP8,1220,1087748,9,6,서먼헌터 키우기: 방치형 RPG,,,모든 서브퀘스트 완료,N,2023-12-11 19:00:00,2025-12-31 00:00:00,2,0,571,2161600,NONE,2023-10-24 14:10:36
26117,KYxU61d7ci,50,353254,3,8,여보야 (남성),남성,,회원가입,N,2023-11-07 10:00:00,2029-11-29 00:00:00,1,800,640,2700200,NONE,2023-11-07 10:11:48
26416,9Bb06zz13Z,1276,1221876,3,8,바바더닷컴_D,30세 이상 여성,,최초 회원가입,N,2023-11-14 13:00:00,2025-09-01 00:00:00,2,1620,1440,2721800,NONE,2023-11-14 10:59:48
27374,3DvW9P5F7e,1265,1087749,9,6,머지스위츠,,,모든 서브퀘스트 완료,N,2023-12-15 10:00:00,2025-12-31 00:00:00,2,0,278,2168400,NONE,2023-12-14 14:29:31
27405,QQLmoM4D7E,1406,623961,9,6,"악마 집사와 검은 고양이: 스트레스 해소, 치유계 게임",,,모든 서브퀘스트 완료,N,2023-12-21 12:00:00,2030-12-31 00:00:00,2,0,178,2176200,NONE,2023-12-15 13:34:41
27572,955oLvqtif,220,357520,3,7,신한 SOL페이 퀴즈팡팡 퀴즈 풀면,,,이벤트 참여 완료,N,2023-12-21 15:00:00,2029-11-28 00:00:00,7,600,450,2289200,NONE,2023-12-21 15:38:56
27576,X1ZXBoHS06,1443,1087754,9,6,스낵스타운 : 합성 & 스토리 게임,,,모든 서브퀘스트 완료,N,2023-12-26 10:00:00,2025-12-31 00:00:00,2,0,428,2176600,NONE,2023-12-21 18:09:48
27611,FsJS5gRddB,614,1087755,9,6,영웅삼국,,,모든 서브퀘스트 완료,N,2023-12-27 10:00:00,2025-12-31 00:00:00,3,0,214,2177100,NONE,2023-12-24 19:28:16
27612,MYDlIVNByw,614,1087756,9,6,귀환병 전기 : 레트로RPG,,,모든 서브퀘스트 완료,N,2023-12-27 14:00:00,2025-12-31 00:00:00,3,0,214,2181700,NONE,2023-12-24 19:47:09
27633,9wJAI0Yh46,1415,1087758,9,6,빌런즈: 로봇 배틀로얄,,,모든 서브퀘스트 완료,N,2024-01-26 16:00:00,2025-12-31 00:00:00,2,0,107,2190300,NONE,2023-12-26 19:03:15
27674,4KdWfBx611,1039,358143,3,10,미세먼지 알리미 직과금,,"매월 3,900원",서비스 가입,N,2023-12-28 11:00:00,2029-11-28 00:00:00,7,1400,1100,2575500,NONE,2023-12-28 11:24:46
27844,kl1Oc57hBI,781,1087759,9,6,마이리틀호텔,,,모든 서브퀘스트 완료,N,2024-02-02 18:00:00,2025-12-31 00:00:00,2,0,421,2193700,NONE,2024-01-08 17:38:26
27879,gNl6T6dJYy,930,358797,12,11,대현헬스케어 눈건강 루테인지아잔틴,,59000,구매,N,2024-01-10 09:00:00,9999-12-31 00:00:00,7,20909,13500,1313323,REJOINABLE,2024-01-10 09:55:08
27963,4r4qfqDQhy,70,359132,3,8,"매력남녀의 데이팅앱, 더멤버스",35세~55세 참여,,계정생성 후 심사요청,N,2024-01-17 00:02:47,9999-12-31 23:59:59,2,2640,1980,2483700,NONE,2024-01-15 16:29:22
28014,Vm1LhWmCnj,404,359168,3,7,펀드정보,19세 이상,,서비스 가입,N,2024-01-17 15:00:00,2029-11-29 00:00:00,2,3000,2250,1667243,NONE,2024-01-17 15:27:53
28025,luNh03c2Df,404,1107640,3,8,게임 무료체험,,,참여,N,2024-01-18 15:00:00,2031-01-04 00:00:00,2,3500,2625,1668056,NONE,2024-01-18 15:03:55
28026,kL7EL9wCe7,404,1119610,3,8,판도라박스,,,참여,N,2024-01-18 15:00:00,2031-01-04 00:00:00,2,800,600,1672710,NONE,2024-01-18 15:05:03
28051,9Bb06zz13Z,1276,1221854,3,8,바바더닷컴_N,30세 이상 여성,,최초 회원가입,N,2024-01-19 11:00:00,2025-09-01 00:00:00,2,1350,1275,2722600,NONE,2024-01-19 11:53:53
28052,9Bb06zz13Z,1276,1221865,3,8,바바더닷컴_N,30세 이상 여성,,최초 회원가입,N,2024-01-19 11:00:00,2025-09-01 00:00:00,1,1350,1275,2722500,NONE,2024-01-19 11:54:11
28302,9Bb06zz13Z,1276,1221887,3,8,바바더닷컴_D,30세 이상 여성,,최초 회원가입,N,2024-02-01 00:00:00,2025-09-01 00:00:00,1,1620,1440,2721700,NONE,2024-01-31 15:51:59
28325,lzmtJ7rADP,1232,1087760,9,0,곰곰 햄버거 하우스,,,모든 서브퀘스트 완료,N,2024-02-05 13:00:00,2025-12-31 00:00:00,2,0,321,2196800,NONE,2024-02-01 13:39:29
28532,c7HcEm5cFd,1444,477321,12,11,[김소형원방] 귀리 호두 단백질 쉐이크 (18g x 50개입),,44100,구매,N,2024-02-08 13:45:05,9999-12-31 23:59:59,7,7249,5070,983490,REJOINABLE,2024-02-08 13:45:04
28781,EdNKMDeUBj,1460,865193,3,10,로보주식플러스,,"16,500",서비스 가입,N,2024-03-07 00:00:00,2031-01-01 00:00:00,7,12000,10000,2682900,NONE,2024-02-20 10:39:15
28928,af52Zi9lQB,1232,1087766,9,0,브레드 버거 하우스,,,모든 서브퀘스트 완료,N,2024-03-04 13:00:00,2025-12-31 00:00:00,2,0,300,2207200,NONE,2024-02-26 15:53:42
28947,fLFW3uBd3f,50,362083,3,3,쿠팡 로지스틱스 채용,20세~54세,,카카오톡 채널추가,N,2024-02-27 10:00:00,2027-05-01 00:00:00,7,230,180,2745900,NONE,2024-02-27 10:14:31
29044,LN8LVgaCme,1287,1087765,9,6,닌자 소녀 키우기,,,모든 서브퀘스트 완료,N,2024-02-29 13:00:00,2025-12-31 00:00:00,2,0,214,2200800,NONE,2024-02-28 19:02:26
29622,x1B4vHuJjC,1257,1087767,9,0,오 마이 앤,,,모든 서브퀘스트 완료,N,2024-03-21 11:00:00,2025-12-31 00:00:00,2,0,321,2212600,NONE,2024-03-20 17:18:29
29699,GbKhK4PGGs,791,367002,3,8,탑운세 7일 무료체험,,,무료체험 신청,N,2024-03-22 10:00:00,2030-01-01 00:00:00,7,2800,2200,2702100,NONE,2024-03-22 10:55:20
30022,UuFhn4SwJt,1232,1087768,9,0,브레드 카드 - 같은 그림 찾기!,,,모든 서브퀘스트 완료,N,2024-04-02 10:00:00,2025-12-31 00:00:00,2,0,371,2214800,NONE,2024-03-25 18:37:47
31179,XT0TtCFMsK,1452,1087772,9,0,크라운 럼블: 방치형 왕국 시뮬레이션,,,모든 서브퀘스트 완료,N,2024-05-03 16:00:00,2025-12-31 00:00:00,2,0,307,2260300,NONE,2024-04-05 14:25:02
31758,GBFkB9uZP6,618,1087770,9,6,소울 오프 링,,,모든 서브퀘스트 완료,N,2024-04-09 15:00:00,2025-12-31 00:00:00,2,0,421,2226800,NONE,2024-04-09 10:55:32
31867,OVAmJK1Kvh,1265,1087776,9,6,타임 워,,,모든 서브퀘스트 완료,N,2024-06-28 16:00:00,2025-12-31 00:00:00,2,0,428,2295200,NONE,2024-04-09 17:13:24
32194,vuLMionmUo,82,369456,3,5,Idle Lumber Empire,,,컴퓨터화 제재소에 도달,N,2024-04-11 15:00:00,2029-11-28 00:00:00,2,918,730,2349200,NONE,2024-04-11 15:47:09
32379,ZSmoNBQm9l,930,369720,12,11,스퀘어가든 퓨어 네이비 빨래바구니,,55000,구매,N,2024-04-12 10:00:00,9999-12-31 00:00:00,7,16363,10600,1204548,REJOINABLE,2024-04-12 10:28:55
